generator,acc,alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,ap,auc,beta,description,f_acc,family,fnr,fpr,gamma,parameter,r_acc,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,target_labels_used_for_selection,threshold,tile_scale,value,variant
Glide,98.61666666666666,0.0,0.25,0.4,0.1875,0.3,0.5,99.87754931251416,99.87866111111111,0.125,Tile artifact beta scale.,98.46666666666667,one_factor_compact,1.5333333333333314,1.2333333333333343,0.21,beta_scale,98.76666666666667,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
Midjourney,96.25833333333334,0.0,0.25,0.4,0.1875,0.3,0.5,99.61526254696652,99.59543333333333,0.125,Tile artifact beta scale.,93.7,one_factor_compact,6.299999999999997,1.1833333333333371,0.21,beta_scale,98.81666666666666,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
VQDM,93.425,0.0,0.25,0.4,0.1875,0.3,0.5,99.35895907029833,99.35960277777778,0.125,Tile artifact beta scale.,88.05,one_factor_compact,11.950000000000003,1.2000000000000028,0.21,beta_scale,98.8,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
biggan,89.425,0.0,0.25,0.4,0.1875,0.3,0.5,99.20894043935449,99.151675,0.125,Tile artifact beta scale.,99.2,one_factor_compact,0.7999999999999972,20.349999999999994,0.21,beta_scale,79.65,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
coco_sdxl_nw,98.425,0.0,0.25,0.4,0.1875,0.3,0.5,99.90938955936201,99.9097,0.125,Tile artifact beta scale.,99.3,one_factor_compact,0.7000000000000028,2.450000000000003,0.21,beta_scale,97.55,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
cyclegan,96.59348978046934,0.0,0.25,0.4,0.1875,0.3,0.5,99.8300313253295,99.83639352886264,0.125,Tile artifact beta scale.,99.92429977289932,one_factor_compact,0.07570022710068258,6.737320211960636,0.21,beta_scale,93.26267978803936,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
gaugan,83.1,0.0,0.25,0.4,0.1875,0.3,0.5,99.52630173615144,99.59735400000001,0.125,Tile artifact beta scale.,100.0,one_factor_compact,0.0,33.8,0.21,beta_scale,66.2,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
progan,99.9875,0.0,0.25,0.4,0.1875,0.3,0.5,99.99999375156212,99.99999375,0.125,Tile artifact beta scale.,100.0,one_factor_compact,0.0,0.024999999999991473,0.21,beta_scale,99.97500000000001,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
stable_diffusion_v_1_4,91.175,0.0,0.25,0.4,0.1875,0.3,0.5,98.69650487157178,98.68047222222222,0.125,Tile artifact beta scale.,83.51666666666667,one_factor_compact,16.483333333333334,1.1666666666666714,0.21,beta_scale,98.83333333333333,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
stable_diffusion_v_1_5,91.4125,0.0,0.25,0.4,0.1875,0.3,0.5,98.84100118643127,98.74872343749999,0.125,Tile artifact beta scale.,83.89999999999999,one_factor_compact,16.10000000000001,1.0750000000000028,0.21,beta_scale,98.925,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
stargan,99.87493746873437,0.0,0.25,0.4,0.1875,0.3,0.5,100.0,100.0,0.125,Tile artifact beta scale.,100.0,one_factor_compact,0.0,0.25012506253126787,0.21,beta_scale,99.74987493746873,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
stylegan,99.30729427474544,0.0,0.25,0.4,0.1875,0.3,0.5,99.998114209954,99.9981082177988,0.125,Tile artifact beta scale.,98.63128025371391,one_factor_compact,1.3687197462860894,0.01669170422300681,0.21,beta_scale,99.983308295777,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
stylegan2,98.83575363044567,0.0,0.25,0.4,0.1875,0.3,0.5,99.99513332741662,99.99511190922588,0.125,Tile artifact beta scale.,97.69654481722584,one_factor_compact,2.303455182774158,0.025037556334510214,0.21,beta_scale,99.97496244366549,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
