accepted,alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,fake_brier,fake_logloss,fake_margin,gamma,real_brier,real_logloss,real_margin,residual_scale,semantic_neg_scale,semantic_pos_scale,source_ap,source_auc,source_ba,source_brier,source_flip_rate,source_logloss,source_margin,source_mean_score_drift,target_labels_used_for_selection,tile_scale,variant
True,0.0,0.25,0.2,0.1875,0.15,1.0,0.15000000000000002,0.0004028500569220487,0.006964394795048382,5.856142574734241,0.18,0.0002261464312711972,0.006107227757765042,5.881369439016282,1.5,1.25,1.0,100.0,100.0,99.995,0.00031449824409662293,0.0,0.006535811276406713,5.8687560068752616,0.006463305093348026,False,0.75,b0p75_sp1p00_sn1p25_g1p50
True,0.0,0.25,0.2,0.1875,0.15,1.25,0.15000000000000002,0.0003486744614059628,0.005640635197014135,6.20973914488554,0.21,0.0001793433825533794,0.004903206089214431,6.204487521455623,1.75,1.25,1.0,100.0,100.0,99.995,0.00026400892197967114,0.0,0.0052719206431142826,6.2071133331705814,0.007708017714321613,False,0.75,b0p75_sp1p00_sn1p25_g1p75
True,0.0,0.25,0.2,0.1875,0.15,1.5,0.15000000000000002,0.000312118361720032,0.004666750914558153,6.5633363512218,0.24,0.00014765228106738352,0.0039967197785802265,6.527605574698374,2.0,1.25,1.0,100.0,100.0,99.995,0.00022988532139370772,0.0,0.00433173534656919,6.545470962960087,0.008639940991997719,False,0.75,b0p75_sp1p00_sn1p25_g2p00
False,0.0,0.30000000000000004,0.2,0.22499999999999998,0.15,1.0,0.15000000000000002,0.0008486475454760605,0.014813019061878896,4.795319528869167,0.09,0.0003262410272622369,0.008367325400398948,5.404578418514133,0.75,1.5,1.0,99.99999900009999,99.99999899999999,99.995,0.0005874442863691487,0.0,0.011590172231138922,5.0999489736916495,0.005325651727616787,False,0.75,b0p75_sp1p00_sn1p50_g0p75
True,0.0,0.30000000000000004,0.2,0.22499999999999998,0.15,0.75,0.15000000000000002,0.0006221667636599396,0.011301549950566795,5.148916522497684,0.12,0.0002336007167888911,0.006460617008330979,5.727696474649012,1.0,1.5,1.0,99.99999900009999,99.99999899999999,99.995,0.0004278837402244154,0.0,0.008881083479448885,5.438306498573348,0.004540261812508106,False,0.75,b0p75_sp1p00_sn1p50_g1p00
True,0.0,0.30000000000000004,0.2,0.22499999999999998,0.15,1.0,0.15000000000000002,0.00048687622030554786,0.008783942581446703,5.502513403624296,0.15,0.0001755782330783596,0.005060936146962614,6.05081450961642,1.25,1.5,1.0,100.0,100.0,99.995,0.00033122722669195375,0.0,0.006922439364204658,5.776663956620358,0.006084785796701908,False,0.75,b0p75_sp1p00_sn1p50_g1p25
True,0.0,0.30000000000000004,0.2,0.22499999999999998,0.15,1.25,0.15000000000000002,0.0004030048278263795,0.006965945986367472,5.8561104498572645,0.18,0.00013802382548677356,0.00402476743594963,6.373932590959966,1.5,1.5,1.0,100.0,100.0,99.995,0.00027051432665657654,0.0,0.00549535671115855,6.115021520408615,0.007479604333639145,False,0.75,b0p75_sp1p00_sn1p50_g1p50
True,0.0,0.30000000000000004,0.2,0.22499999999999998,0.15,1.5,0.15000000000000002,0.00034874606062251806,0.005641679556917821,6.209707020246983,0.21,0.00011292072081416329,0.0032504896573893063,6.6970506475547324,1.75,1.5,1.0,100.0,100.0,99.995,0.0002308333907183407,0.0,0.004446084607153564,6.4533788339008575,0.008515655063092709,False,0.75,b0p75_sp1p00_sn1p50_g1p75
True,0.0,0.30000000000000004,0.2,0.22499999999999998,0.15,1.75,0.15000000000000002,0.0003121508681084041,0.0046674499090742635,6.563304226702452,0.24,9.562418979525145e-05,0.002666047887332852,7.020168721122667,2.0,1.5,1.0,100.0,100.0,99.995,0.00020388752895182777,0.0,0.003666748898203558,6.791736473912559,0.009290514513850212,False,0.75,b0p75_sp1p00_sn1p50_g2p00
True,0.0,0.35000000000000003,0.2,0.2625,0.15,1.25,0.15000000000000002,0.0008502450654436245,0.01481841857072435,4.795287404469028,0.09,0.00019870269126085038,0.005514546105590515,5.897141545931995,0.75,1.75,1.0,99.99999900009999,99.99999899999999,99.995,0.0005244738783522374,0.0,0.010166482338157434,5.346214475200512,0.006712468806654215,False,0.75,b0p75_sp1p00_sn1p75_g0p75
True,0.0,0.35000000000000003,0.2,0.2625,0.15,1.0,0.15000000000000002,0.0006230216817157092,0.011305357290688565,5.14888439815715,0.12,0.00014795188343104577,0.004282488510213643,6.220259624324739,1.0,1.75,1.0,99.99999900009999,99.99999899999999,99.995,0.0003854867825733775,0.0,0.007793922900451105,5.684572011240944,0.0056074694730341434,False,0.75,b0p75_sp1p00_sn1p75_g1p00
True,0.0,0.35000000000000003,0.2,0.2625,0.15,1.25,0.15000000000000002,0.0004873072262185502,0.0087865762542737,5.502481279367209,0.15,0.00011545495257472809,0.0033762398586972366,6.543377674512192,1.25,1.75,1.0,100.0,100.0,99.995,0.00030138108939663916,0.0,0.006081408056485468,6.022929476939701,0.006911183707416058,False,0.75,b0p75_sp1p00_sn1p75_g1p25
True,0.0,0.35000000000000003,0.2,0.2625,0.15,1.5,0.15000000000000002,0.00040321272824271013,0.006967742383870136,5.856078325647861,0.18,9.396272973328867e-05,0.0027036065907048547,6.866495756278932,1.5,1.75,1.0,100.0,100.0,99.995,0.0002485877289879994,0.0,0.004835674487287494,6.361287040963396,0.008127357810735703,False,0.75,b0p75_sp1p00_sn1p75_g1p50
True,0.0,0.35000000000000003,0.2,0.2625,0.15,1.75,0.15000000000000002,0.0003488432260006668,0.005642892724587007,6.209674895632267,0.21,7.930059617686641e-05,0.002199430265211239,7.189613810477592,1.75,1.75,1.0,100.0,100.0,99.995,0.0002140719110887666,0.0,0.003921161494899123,6.6996443530549294,0.009031478315591812,False,0.75,b0p75_sp1p00_sn1p75_g1p75
